የኦነግ	የ+ኦነግ
‹‹የአገራችንን	‹‹የ+አገ+ራችንን
ሰቅለው	ሰቅ+ለው
አስደስተውኛል	አስ+ደስ+ተውኛል
አስደምጫለሁ፤››	አስ+ደምጫለሁ፤››
በመስጠቷ	በ+መስጠቷ
አግኘቶ	አግ+ኘቶ
ተመልክቻለሁ፤››	ተ+መልክቻለሁ፤››
የቱሪዝሙ	የ+ቱሪዝ+ሙ
የሚጠቅሰው	የሚ+ጠቅ+ሰው
የሬጌ	የ+ሬጌ
እንዲዘፍኑ	እንዲ+ዘፍ+ኑ
‹‹ስሜቴን	‹‹ስሜ+ቴን
ከሚያሳድሩ	ከ+ሚያ+ሳድሩ
የሚዋሃድበትን	የሚ+ዋሃድ+በትን
ያጣቅሳል	ያ+ጣቅሳል
የሚያደንቀው	የሚ+ያ+ደንቀው
አዋህዷል	አ+ዋህ+ዷል
‹‹ዓለምን	‹‹ዓለም+ን
የምመለከትበት	የ+ም+መለከትበት
ለአድማጭ	ለ+አድ+ማጭ
ሙዚቀኞቹ	ሙዚቀኞ+ቹ
ስዎንና	ስዎን+ና
በዲዛይነሮቹ	በ+ዲዛይነ+ሮቹ
በሀብ	በ+ሀብ
ዲዛይነሮቹ	ዲዛይነ+ሮቹ
ለፋሽን	ለ+ፋሽን
ተመዝኗል	ተ+መዝ+ኗል
የውሜንስ	የ+ውሜንስ
ለዲዛይነሮቹ	ለ+ዲዛይነ+ሮቹ
ሲመቻቹ	ሲ+መቻቹ
የፋሽን	የ+ፋሽን
ቀጣይነታቸው	ቀጣይ+ነታቸው
ከምትጠቅሳቸው	ከ+ም+ትጠቅሳቸው
ቢፈትኑትም	ቢ+ፈት+ኑት+ም
ብራንዶች	ብራን+ዶች
ይጠቀማሉ፤››	ይ+ጠቀማሉ፤››
ሲጎለብት	ሲ+ጎለብት
መከፈትና	መ+ከፈት+ና
ፒቪኤችና	ፒቪኤች+ና
ብራንዶችም	ብራን+ዶች+ም
ለዲዛይነሮች	ለ+ዲዛይ+ነሮች
ዲዛይነሮቹን	ዲዛይ+ነሮቹን
አዋህዳ	አ+ዋህዳ
ብራንዷን	ብራን+ዷን
ዲዛይኖቿን	ዲዛይ+ኖቿን
ከልብሶቹ	ከ+ል+ብሶቹ
ያቀረበቻቸውም	ያ+ቀረበቻቸው+ም
‹‹የኦርቶዶክስ	‹‹የ+ኦርቶዶክስ
የንፁሀኑ	የ+ንፁሀኑ
ነፍሳቸው	ነፍ+ሳቸው
ይማር	ይ+ማር
እንዲያሠሩ	እንዲ+ያ+ሠሩ
በድልድዩ	በ+ድልድ+ዩ
‹‹የአፄ	‹‹የ+አፄ
ፋሲልን	ፋሲል+ን
ከድልድዮቹ	ከ+ድልድ+ዮቹ
ድልድዩን	ድልድ+ዩን
ከሚያውቅበት	ከ+ሚ+ያውቅበት
የድልድዩ	የ+ድ+ልድዩ
ፈራርሷል	ፈራር+ሷል
ስለሚሸራረፍ	ስለ+ሚሸራረፍ
ቀርቶታልም	ቀር+ቶታል+ም
‹‹ድልድዩ	‹‹ድ+ልድዩ
አልተደረገለትም	አል+ተደረገለት+ም
ግማሸ	ግ+ማሸ
የድልድዩን	የ+ድ+ልድዩን
ድልድዮቹ	ድ+ልድዮቹ
ከሚነገርላቸው	ከ+ሚ+ነገርላቸው
ከኤፍሬምና	ከ+ኤፍሬም+ና
የምትታወቅባቸውን	የ+ም+ትታወቅባቸውን
እንዳልተሰጣቸው	እን+ዳል+ተሰጣቸው
የሚዘገቡበት	የ+ሚ+ዘገቡበት
ማህተመ	ማ+ህተመ
በሽሪማዲ	በ+ሽሪማዲ
የጋንዲ	የ+ጋንዲ
ትስስራቸው	ት+ስ+ስራቸው
በቴአትሩ	በ+ቴአትሩ
በኡታም	በ+ኡታም
በራጀሽ	በ+ራጀሽ
የሕይወታቸው	የ+ሕይወ+ታቸው
የቴአትሩ	የ+ቴአት+ሩ
መልካምነትን	መልካም+ነትን
መቻቻልንና	መቻ+ቻልን+ና
በመልካምነታቸው	በ+መልካም+ነታቸው
ለአካባቢዬ	ለ+አካባቢዬ
በጋንዲና	በ+ጋንዲ+ና
ተመርኩዘው	ተ+መር+ኩዘው
እንደሚያልፉ	እንደ+ሚ+ያልፉ
የህንድን	የ+ህንድ+ን
መቀዳጀት	መ+ቀዳጀ+ት
‹‹የአገራችን	‹‹የ+አገ+ራችን
መንፈሳዊነት	መንፈ+ሳዊነት
ሐሳቦቻቸው	ሐሳ+ቦቻቸው
ህንዳውያን	ህን+ዳውያን
የቴአትሩን	የ+ቴአት+ሩን
ስለሚዘዋወር	ስለ+ሚዘዋወር
ተዋንያኑ	ተዋንያ+ኑ
ሲለዋውጡ	ሲ+ለዋው+ጡ
ተመልካችን	ተ+መል+ካችን
በሚረብሽ	በ+ሚረብሽ
ሲነሪዎችን	ሲነሪ+ዎችን
የሚለዋውጡት	የ+ሚ+ለዋውጡት
ለማኅበራዊ	ለ+ማኅበ+ራዊ
ቃልን	ቃል+ን
የሚያስገነዝቡ	የ+ሚያስገነዝ+ቡ
የየድርሻቸውን	የ+የድ+ርሻቸውን
ከሚያደርግለት	ከ+ሚያ+ደርግለት
ግዙፍነት	ግ+ዙፍነት
የሌላቸውም	የ+ሌላ+ቸው+ም
ማሳተፍም	ማ+ሳተፍ+ም
ተንቀሳቅሰዋል	ተ+ን+ቀሳቅሰዋል
‹‹ለጉብኝት	‹‹ለ+ጉብ+ኝት
በምትጓዙበት	በ+ም+ትጓዙበት
አክብሩ	አ+ክ+ብሩ
አክብሩ፤››	አ+ክብሩ፤››
ከጎብኝዎች	ከ+ጎብ+ኝዎች
የነቅዌ	የ+ነቅዌ
ጋብዛ	ጋብ+ዛ
የሚዘወተሩት	የ+ሚ+ዘወተሩት
እንደየሚካሄዱበት	እንደ+የሚ+ካሄዱበት
አንድምታቸው	አንድም+ታቸው
በዓሎችን	በዓ+ሎችን
የሚመጡባቸው	የ+ሚ+መጡባቸው
የሚገልጹበትም	የሚ+ገል+ጹበት+ም
ሚስቶቻቸውን	ሚስ+ቶቻቸውን
የሚያገቡበት	የሚ+ያ+ገቡበት
በደላቸውንና	በደ+ላቸው+ንና
ሥርዓቶቹ	ሥርዓ+ቶቹ
ታክሏል	ታክ+ሏል
የቃቄ	የ+ቃቄ
ወርድወትን	ወርድወት+ን
ኢፍትሐዊነቱን	ኢፍት+ሐዊነቱን
በሰውነታቸው	በ+ሰው+ነታቸው
ሞግታለች	ሞግ+ታለች
ይስተጋባሉ	ይ+ስ+ተጋባሉ
ከማድመቅ	ከ+ማድ+መቅ
የሚገልጹባቸው	የሚ+ገል+ጹባቸው
‹‹ባህሉ	‹‹ባህ+ሉ
በሥርዓቶቹ	በ+ሥርዓ+ቶቹ
ፉክክሩን	ፉክ+ክሩን
የሥርዓቶቹ	የ+ሥርዓ+ቶቹ
ክትፎ	ክ+ትፎ
ይመግባሉ	ይ+መግ+ባሉ
በጭፈራው	በ+ጭ+ፈራው
እናቶቹ	እና+ቶቹ
‹‹ምሽቱን	‹‹ምሽ+ቱን
በሙላ	በ+ሙላ
ይፈልጋሉ፤››	ይ+ፈልጋሉ፤››
ይገልጹታል	ይ+ገል+ጹታል
ተወስነውም	ተ+ወስ+ነው+ም
የክንውኖቹ	የ+ክ+ንውኖቹ
እኩልነቱ	እኩል+ነቱ
ከጭፈራው	ከ+ጭ+ፈራው
መቻልም	መ+ቻል+ም
አጥኚው	አጥ+ኚው
ስለሚታመን	ስለ+ሚታመን
በጽሑፍና	በ+ጽ+ሑፍና
ዓለምም	ዓለም+ም
ማኅበረሰባዊ	ማኅበረሰ+ባዊ
በሉላዊነት	በ+ሉላዊ+ነት
ፍትሕን	ፍትሕ+ን
የሚያሰፍኑ	የሚ+ያ+ሰፍኑ
‹‹በብሔራዊ	‹‹በ+ብሔ+ራዊ
ሙዚየሞች	ሙዚየ+ሞች
ከሚቀመጡ	ከ+ሚ+ቀመጡ
ይሆናል፤››	ይ+ሆናል፤››
የሚያዘው	የ+ሚ+ያዘው
ምድባ	ም+ድባ
ምንነትም	ምን+ነት+ም
‹‹ቅርሶች	‹‹ቅር+ሶች
በየግለሰቡ	በየ+ግለሰ+ቡ
ይገኛሉ፤››	ይ+ገኛሉ፤››
እንዲያድርባቸው	እንዲ+ያ+ድርባቸው
ከየሃይማኖት	ከ+የሃይማኖት
ከሰዎች	ከ+ሰ+ዎች
ከየቦታው	ከየ+ቦታው
ከንጉሣዊው	ከ+ን+ጉሣዊው
ስብስቦችም	ስ+ብስቦች+ም
የፀሐይና	የ+ፀሐይ+ና
የጨረቃ	የ+ጨረቃ
እንደሚገልጹት	እንደ+ሚ+ገልጹት
አነጋገርም	አ+ነጋገር+ም
በሮሽ	በ+ሮሽ
በአፕል	በ+አፕል
የሚቆጥረው	የሚ+ቆጥ+ረው
ከዓመቱ	ከ+ዓመ+ቱ
በቶራህ-ዘሌዋውያን	በ+ቶራህ-ዘሌዋውያን
መልካምና	መልካም+ና
በሚቆጥረው	በ+ሚ+ቆጥረው
በሐሳበ	በ+ሐሳበ
ከመዲና	ከ+መዲና
ጨረቃውን	ጨረቃ+ውን
ቀኖችን	ቀ+ኖችን
ከፀሐያዊው	ከ+ፀሐ+ያዊው
በፀሐይና	በ+ፀሐይ+ና
ፋሲካንና	ፋሲካ+ን+ና
በዓለትና	በዓ+ለት+ና
ለጥንታዊ	ለ+ጥን+ታዊ
ሥልጣኔያቸው	ሥ+ልጣኔያቸው
ክንውኖቻቸው	ክ+ንውኖቻቸው
የሚስበው	የሚ+ስ+በው
በጣሪያ	በ+ጣሪያ
በቀይና	በ+ቀይ+ና
የጣሪያው	የ+ጣሪያ+ው
ፓላስና	ፓላስ+ና
መንግሥቶችና	መ+ን+ግሥቶች+ና
አምልኮዎች	አምል+ኮዎች
በሚንግ	በ+ሚንግ
ጥንታዊውን	ጥን+ታዊውን
ሊመስለው	ሊ+መስ+ለው
መሸመት	መ+ሸመት
መገልገያዎችና	መ+ገል+ገያዎች+ና
ከሚያሳዩ	ከ+ሚ+ያሳዩ
መገልገያዎችም	መ+ገል+ገያዎች+ም
ከእንቁና	ከ+እንቁ+ና
ፈቅዶ	ፈቅ+ዶ
ዲዛይናቸውን	ዲዛይ+ናቸውን
ማምራታቸውም	ማ+ም+ራታቸው+ም
ጌጦቹ	ጌ+ጦቹ
በፐርል	በ+ፐርል
ልብሶችና	ል+ብሶች+ና
ሻንጣዎች	ሻንጣ+ዎች
ለሚሄደው	ለ+ሚ+ሄደው
ስለሚነገረው	ስለ+ሚ+ነገረው
የሚሸምት	የሚ+ሸምት
‹‹አይቀንስም››	‹‹አይ+ቀን+ስም››
ንገሩኝ››	ን+ገሩኝ››
ቢለወጥም	ቢ+ለወጥ+ም
በቾፕስቲክ	በ+ቾፕስቲክ
የሚለመድ	የሚ+ለመድ
ከቾፕስቲኩ	ከ+ቾፕስቲኩ
ስኒዎችም	ስኒ+ዎች+ም
ሥርዓታቸው	ሥርዓ+ታቸው
ስኒዎች	ስኒ+ዎች
በሕንፃዎች	በ+ሕንፃ+ዎች
የድራገን	የ+ድራገን
ምሥልና	ምሥል+ና
የድራገኖች	የ+ድራገ+ኖች
ድራገኖች	ድራገ+ኖች
የብርታትና	የ+ብር+ታትና
ግዙፎች	ግ+ዙፎች
ከድራገን	ከ+ድራገን
ቅርፅች	ቅ+ርፅች
የጎራዴ	የ+ጎራዴ
አሠራርም	አ+ሠራር+ም
ከጥንታዊት	ከ+ጥን+ታዊት
ጎራዴዎች	ጎራዴ+ዎች
ሸምቶ	ሸም+ቶ
አይፈቅድምና	አይ+ፈቅ+ድምና
ጎራዴዎችን	ጎራዴ+ዎችን
መግዛትን	መ+ግ+ዛትን
የኩንግ	የ+ኩንግ
የግርግዳ	የ+ግርግዳ
ጌጦችም	ጌ+ጦች+ም
የቡድሀ	የ+ቡድሀ
አጠገቡ	አጠገ+ቡ
ዕጣንና	ዕጣን+ና
የቡድሀን	የ+ቡድሀን
በቡድሀ	በ+ቡድሀ
መስኰትና	መስኰት+ና
ግርግዳዎች	ግርግዳ+ዎች
በፍትሐዊ	በ+ፍት+ሐዊ
ሳይታያቸው	ሳ+ይታያቸው
ለልብስና	ለ+ል+ብስና
ማርኬትና	ማርኬት+ና
ሲልክ	ሲ+ልክ
ያመሩ	ያ+መሩ
ገጥመውናል	ገጥ+መውናል
ለሚያናግራቸው	ለ+ሚ+ያናግራቸው
ከሚሞክር	ከ+ሚሞክር
ስለሚግባቡ	ስለ+ሚ+ግባቡ
ጥቂትም	ጥቂት+ም
በግብይታችን	በ+ግ+ብይታችን
ቆይታና	ቆይ+ታ+ና
አገራችንም	አገ+ራችን+ም
ተነጋግረናል	ተ+ነጋግ+ረናል
ተለዋውጠን	ተ+ለዋው+ጠን
ከፐርል	ከ+ፐርል
ሸምተን	ሸም+ተን
ተለያይተናል	ተ+ለያይ+ተናል
ቆንጆና	ቆንጆ+ና
ከአንጋፋው	ከ+አንጋፋ+ው
ድምፃዊ	ድም+ፃዊ
በ70ዎቹ	በ+70ዎ+ቹ
ባለፀጋዎች	ባለፀጋ+ዎች
ከዕድሜ	ከ+ዕድሜ
ከሚናፍቃቸው	ከ+ሚ+ናፍቃቸው
ይገናኛሉ	ይ+ገናኛሉ
የሚያቀነቅኑባቸው	የሚ+ያ+ቀነቅኑባቸው
አንጋፋዎቹን	አንጋፋ+ዎቹን
እንቁጣጣሽን	እንቁጣጣሽ+ን
የድሮና	የ+ድሮ+ና
የዘንድሮም	የ+ዘንድሮ+ም
አድናቂዎቻቸው	አ+ድ+ናቂዎቻቸው
የአልበም	የ+አልበም
ምርቃት	ም+ርቃት
ከሚጀምርበት	ከ+ሚ+ጀምርበት
ሞልተዋል	ሞል+ተዋል
ድምፃዊው	ድም+ፃዊው
የግርማን	የ+ግርማ+ን
የኢትዮጲክስ	የ+ኢትዮጲክስ
የአንጋፋ	የ+አንጋፋ
የጥላሁን	የ+ጥላሁን
ገብሩና	ገብሩ+ና
ስብስቦቹ	ስ+ብስቦቹ
በ60ዎቹ	በ+60ዎ+ቹ
70ዎቹ	70ዎ+ቹ
በአምሐ	በ+አምሐ
ሪከርድስና	ሪከርድስ+ና
ዕትሙ	ዕ+ትሙ
ከአካሌ	ከ+አካሌ
ተስበው	ተ+ስ+በው
የአካሌ	የ+አካሌ
አጅበውታል	አጅ+በውታል
አቀንቅኗል	አ+ቀን+ቅኗል
እንደሚያያዝ	እንደ+ሚያያዝ
በእግዚእ	በ+እግዚእ
የተነሣበት	የ+ተነሣ+በት
በጎልጎታ	በ+ጎልጎታ
የፓትርያርክነታቸው	የ+ፓትርያርክ+ነታቸው
ይዞታውን	ይ+ዞታውን
በዳግማይ	በ+ዳግማይ
ይጠብቅ	ይ+ጠብቅ
እናድስ	እ+ናድስ
እሥራኤላውያንም	እሥራኤ+ላውያንም
ያድርጉ	ያ+ድርጉ
በማኅበረ	በ+ማኅበረ
ምላሹንም	ምላ+ሹን+ም
የእሥራኤል	የ+እሥራኤል
ከብፁዕ	ከ+ብፁዕ
ተነድሎ	ተ+ነድ+ሎ
ያቆመውን	ያ+ቆመውን
ከእስራኤሉ	ከ+እስራኤ+ሉ
እንደሚታደሱ	እንደ+ሚ+ታደሱ
የሙሉቀን	የ+ሙሉቀን
ደምሴም	ደምሴ+ም
አባተና	አባተ+ና
በመቀንጨብ	በ+መቀን+ጨብ
የኮፒ	የ+ኮፒ
ያወድሱ	ያ+ወድሱ
ኪቦርዲስትና	ኪቦርዲስት+ና
ስለሚለወጥ	ስለ+ሚለወጥ
ግጥምና	ግ+ጥምና
ድምፃዊና	ድም+ፃዊ+ና
መደምደሚያ	መ+ደም+ደሚያ
ያበጁለታል	ያ+በጁለታል
የባንዱ	የ+ባን+ዱ
የየድርሻውን	የ+የድ+ርሻውን
ተወጥቶ	ተ+ወጥ+ቶ
ጥምረታቸው	ጥ+ምረታቸው
ከዚም	ከ+ዚ+ም
‹‹ወቅታዊ	‹‹ወቅ+ታዊ
ይሠራል፤››	ይ+ሠራል፤››
የይድረስ	የ+ይድ+ረስ
በሙዚቀኛው	በ+ሙዚቀኛ+ው
ሊተኮርባቸው	ሊ+ተኮር+ባቸው
ኪቦርድና	ኪቦርድ+ና
እንደማያሻ	እንደ+ማያሻ
‹‹ለሥራው	‹‹ለ+ሥ+ራው
በጣጥሶ	በ+ጣ+ጥሶ
ይሰብራል	ይ+ሰብ+ራል
ያመጣቸው	ያ+መጣቸው
በቀና	በ+ቀና
ይቻላል፤››	ይ+ቻላል፤››
መደምደም	መ+ደምደም
ሙዚቀኛው	ሙዚቀኛ+ው
ከሚቀርቡለት	ከ+ሚ+ቀርቡለት
ኮንሰርቶችና	ኮንሰር+ቶች+ና
ሲያቀኑ	ሲያ+ቀኑ
ይገባዎታል	ይ+ገባዎ+ታል
ይጎርፋሉ	ይ+ጎር+ፋሉ
የሚያስተናግዱባቸው	የሚ+ያ+ስተናግዱባቸው
አንሺዎችና	አን+ሺዎች+ና
ኪነጠቢባን	ኪነ+ጠቢባን
ከቻይናውያን	ከ+ቻይናውያን
የሚጓዙም	የሚ+ጓዙም
መጎምራት	መ+ጎም+ራት
አርቲስቶቹ	አርቲስ+ቶቹ
ለሥራቸው	ለ+ሥ+ራቸው
የሥነጥበብ	የ+ሥነጥበብ
የቅርፃ	የ+ቅርፃ
ስቱዲዮውን	ስቱዲ+ዮውን
አርአያውን	አርአያ+ውን
ቻይናውያንና	ቻይና+ውያንና
መደብሮችና	መደብ+ሮች+ና
የሥዕልና	የ+ሥ+ዕልና
የሚሥሉ	የ+ሚ+ሥሉ
በፕላስቲክና	በ+ፕላስቲክ+ና
በየጋለሪዎቹ	በየ+ጋለሪ+ዎቹ
የልጆችና	የ+ል+ጆች+ና
ተጨናንቀውም	ተ+ጨናን+ቀው+ም
አስተውለናል	አ+ስ+ተውለናል
ሼፎች	ሼ+ፎች
የንቅሳትና	የ+ን+ቅሳት+ና
የሒና	የ+ሒና
መቅደሶችና	መ+ቅ+ደሶች+ና
መደብሮችም	መደብ+ሮች+ም
ሲጣጣሩ	ሲ+ጣ+ጣሩ
እንደሚገልጽበት	እንደ+ሚ+ገልጽበት
ታዳሚያኑ	ታዳሚ+ያኑ
አፍቃሪያንና	አ+ፍቃሪያን+ና
ያነቃቁ	ያ+ነቃቁ
የቴዲ	የ+ቴዲ
በሚጫወትበት	በ+ሚ+ጫወትበት
ኦርኬስትራውን	ኦርኬስትራ+ውን
ሲዘፍኑ	ሲ+ዘፍ+ኑ
የማዳበር	የማ+ዳበር
የደራስያንን	የ+ደራስያን+ን
መጻሕፍትና	መ+ጻሕ+ፍት+ና
መድበሎች	መድበ+ሎች
ደራስያንም	ደራስያን+ም
የሆሄ	የ+ሆሄ
ዘርፎቹ	ዘር+ፎቹ
በአስረስ	በ+አስረስ
ሶሊያናና	ሶሊያና+ና
የቤዛ	የ+ቤዛ
የታለጌታ	የ+ታለጌታ
የአይጦችና	የ+አይ+ጦች+ና
የድመቶች	የ+ድመ+ቶች
የኮሜዲያን	የ+ኮሜዲያን
የቼሪን	የ+ቼሪን
ሙላቷ	ሙላ+ቷ
ቤተሰቦቻቸውንና	ቤተሰ+ቦቻቸው+ንና
ግሪክም	ግሪክ+ም
ፋሺስትና	ፋሺስት+ና
ባለአደራዎቹ	ባለ+አደራ+ዎቹ
ከባላደራ	ከ+ባላደራ
ትምህርታቸውነ	ት+ም+ህርታቸውነ
ግሪክና	ግሪክ+ና
ሞስኮኛ	ሞስኮ+ኛ
ከካርልቶን	ከ+ካርልቶን
ሪሌሽንስና	ሪሌሽንስ+ና
የፕሬሰና	የ+ፕሬሰ+ና
ልጆቸ	ል+ጆቸ
በቀቅተዋል	በቀቅ+ተዋል
በጸና	በ+ጸና
ቀብራቸው	ቀብ+ራቸው
ሲፈለግም	ሲ+ፈለግ+ም
አቆራርጦ	አ+ቆራር+ጦ
የሚመርጧቸው	የሚ+መር+ጧቸው
የሚያሻውም	የሚ+ያሻው+ም
ከአለ	ከ+አለ
የሚያደንቁበት	የሚ+ያ+ደንቁበት
ያሳስበው	ያ+ሳስበው
እንደሚገጥማቸው	እንደ+ሚ+ገጥማቸው
‹‹ተመርቄ	‹‹ተ+መር+ቄ
ከወጣሁ	ከ+ወጣሁ
ሥራዎቼ	ሥ+ራዎቼ
በሚፈልግበት	በ+ሚ+ፈልግበት
ፅዳትና	ፅ+ዳት+ና
ሠዓሊያንና	ሠዓሊያን+ና
አንሺዎች	አን+ሺዎች
ከተፈሪ	ከ+ተፈሪ
ሠዓሊያንን	ሠዓሊያን+ን
የጋለሪው	የ+ጋለሪ+ው
የአርቲስቶች	የ+አርቲስ+ቶች
ከጋለሪው	ከ+ጋለሪ+ው
እንዲሥሉ	እንዲ+ሥ+ሉ
ፎቶግራፎቹ	ፎቶግራ+ፎቹ
በየዛፉ	በየ+ዛ+ፉ
ተሰቅለው	ተ+ሰቅ+ለው
ለሠዓሊያንም	ለ+ሠዓሊያን+ም
ጋለሪው	ጋለሪ+ው
ምቹነትና	ም+ቹነት+ና
ያስነብባል	ያ+ስነብባል
የአብነት	የ+አብነት
በድጓ	በ+ድጓ
በአቋቋም	በ+አቋ+ቋም
በቅኔና	በ+ቅኔ+ና
በቅዳሴ	በ+ቅ+ዳሴ
ክርስቲያኗን	ክርስቲያ+ኗን
ሊያቃጥል	ሊ+ያቃጥል
‹‹በወቅቱ	‹‹በ+ወቅ+ቱ
ተገርሞ	ተ+ገር+ሞ
ደብሩ	ደብ+ሩ
ሲያለቅስ	ሲ+ያለቅስ
እንደሚባልና	እንደ+ሚ+ባልና
ባላባቱ	ባ+ላባ+ቱ
ደብሯ	ደብ+ሯ
ግራኝም	ግራኝ+ም
‘ጊዜው	‘ጊዜ+ው
ከቆላና	ከ+ቆላ+ና
ከቆላ	ከ+ቆላ
ከዋረብ	ከ+ዋረብ
ከጋይንሆ	ከ+ጋይንሆ
ከማር	ከ+ማር
ከዛንተራ	ከ+ዛንተራ
ከአንባጨራና	ከ+አንባጨራ+ና
አሥጊ	አ+ሥ+ጊ
ሕንፃው	ሕንፃ+ው
ካሳሁንና	ካሳሁን+ና
ጥንታዊው	ጥን+ታዊው
መተካቱ	መ+ተካቱ
አጥራ	አጥ+ራ
ደብሮች	ደ+ብሮች
ዕውቅናን	ዕ+ውቅናን
‹‹የሳቸው	‹‹የ+ሳቸው
አንጋፋዎች	አንጋፋ+ዎች
የትናንትና	የ+ትናንት+ና
አበቦች	አበ+ቦች
ሽኝትና	ሽ+ኝት+ና
ኪነጥበበኛው	ኪነ+ጥበበኛው
ሁለገቡ	ሁለገ+ቡ
ያሰኛቸው	ያሰ+ኛቸው
የውዝዋዜ	የ+ው+ዝዋዜ
አሠልጣኝ	አ+ሠልጣኝ
በጥበቡ	በ+ጥ+በቡ
መዝለቃቸው	መ+ዝ+ለቃቸው
በሙዚቀኛነት	በ+ሙዚቀኛ+ነት
መሥራታቸው	መ+ሥ+ራታቸው
አኮርዲዮንና	አኮርዲዮን+ና
ካዜሟቸው	ካ+ዜ+ሟቸው
በ‹‹ጎንደሬው››	በ‹‹ጎንደ+ሬው››
‹‹መቀነቷን	‹‹መቀነ+ቷን
ሳህሉም	ሳህሉ+ም
ተውነዋል	ተው+ነዋል
ስቅለት››	ስ+ቅለት››
‹‹ዳዊትና	‹‹ዳዊት+ና
‹‹የንግሥተ	‹‹የ+ን+ግሥተ
‹‹የአዛውንቶች	‹‹የ+አዛውን+ቶች
የጲላጦስን	የ+ጲላጦስ+ን
በኦቴሎ	በ+ኦቴሎ
የኢያጎን	የ+ኢያጎን
ባሕርያት	ባሕር+ያት
ሲተውኑ	ሲ+ተው+ኑ
በ1940ዎቹ	በ+1940ዎ+ቹ
ሳጂንነት	ሳጂን+ነት
የምትሀት	የ+ምት+ሀት
አይሁዳዊ	አ+ይሁዳ+ዊ
አጠናክሮላቸው	አ+ጠናክ+ሮላቸው
ምትሀተኞች	ምትሀ+ተኞች
ተቆጣጥረውታል	ተ+ቆጣጥ+ረውታል
እስክስታውን	እስክስታ+ውን
ዋሽንትና	ዋሽንት+ና
አጅቧቸዋል	አጅ+ቧቸዋል
ጌጣቸውን	ጌ+ጣቸውን
አውልቀው	አ+ው+ልቀው
ሳቅና	ሳቅ+ና
ያሳብቃል	ያ+ሳብቃል
ተወልዳ	ተ+ወል+ዳ
አባቷ	አባ+ቷ
ስላሸነፋት	ስላ+ሸነፋት
ተቀላቅላ	ተ+ቀላቅ+ላ
ችሎታዋን	ች+ሎታዋን
ለሮማን	ለ+ሮማን
አስቆጥራለች	አስ+ቆጥ+ራለች
ድምፃዊነት	ድም+ፃዊነት
ካለመዘመናቸው	ካለ+መዘመናቸው
የሚያዳብር	የሚ+ያዳብር
ድምፃውያንና	ድምፃውያን+ና
ተመቻችቶላቸዋል	ተ+መቻች+ቶላቸዋል
ከብዙዎች	ከ+ብ+ዙዎች
እንድትደርስ	እንድ+ትደር+ስ
‹‹በቅርቡ	‹‹በ+ቅ+ርቡ
ወልዲያና	ወልዲያ+ና
የሄድነው	የ+ሄድ+ነው
ይከፍታል፤››	ይ+ከፍታል፤››
ከሚዘወተሩ	ከ+ሚ+ዘወተሩ
ውዝዋዜዎች	ው+ዝዋዜዎች
ስትጫወት	ስት+ጫወት
እንደሚላት	እንደ+ሚ+ላት
ስለሚለውም	ስለ+ሚ+ለው+ም
እወደዋለሁ፤››	እ+ወደዋለሁ፤››
ሮማንና	ሮማን+ና
ጓደኞቿ	ጓደ+ኞቿ
‹‹በአማራ	‹‹በ+አማራ
እናሳያለን፤››	እ+ናሳያለን፤+››
ቢያስደስትም	ቢ+ያ+ስደስትም
ትቸገራለች	ት+ቸገራለ+ች
በቤተሰቦቻቸውና	በ+ቤተሰ+ቦቻቸው+ና
ይበረታል	ይ+በረ+ታል
ስለምወደው	ስለ+ም+ወደው
በሚፈለጉት	በ+ሚ+ፈለጉት
በውዝዋዜው	በ+ው+ዝዋዜው
ላሊበላና	ላሊበላ+ና
ያፈሯቸው	ያ+ፈሯቸው
ተስፋዋ	ተስፋ+ዋ
ይለመልማል	ይ+ለመል+ማል
የምትፈልግበትን	የም+ትፈል+ግበት+ን
ከምትላቸው	ከ+ም+ትላቸው
ሐሳቧን	ሐሳ+ቧን
በካሳሁን	በ+ካሳሁን
ምሥጋናውን	ም+ሥጋናውን
ልጅነቱን	ልጅ+ነቱን
ውዝዋዜን	ው+ዝዋዜን
በሙያነት	በ+ሙያ+ነት
ሲያቋቁሙ	ሲ+ያ+ቋቁሙ
ከጀንበር	ከ+ጀንበር
አድማስና	አድማስ+ና
ቢደግፍም	ቢ+ደግ+ፍም
የየግላችንን	የ+የግ+ላችንን
አቅርቦልናል፤››	አ+ቅርቦልናል፤››
ፌስቲቫሎችና	ፌስቲቫ+ሎች+ና
ከዘልማዳዊ	ከ+ዘልማ+ዳዊ
ይለኛል፤››	ይ+ለኛል፤››
ሲጨፍር	ሲ+ጨፍር
‹‹የታኅሣሥ	‹‹የ+ታኅሣሥ
ገርማሜ	ገር+ማሜ
አንጋጋው	አንጋጋ+ው
የታኅሣሥ	የ+ታኅሣሥ
ያሰፈሩት	ያ+ሰፈሩት
ዘውድን	ዘውድ+ን
ኩዴታው	ኩዴታ+ው
ስለዚያን	ስለ+ዚያ+ን
የብርጋዴር	የ+ብርጋዴር
አይሆንብኝም	አይ+ሆን+ብኝ+ም
ስለሠራሁ	ስለ+ሠራሁ
የማደንቀውም	የማ+ደን+ቀው+ም
‹‹በክብር	‹‹በ+ክብር
ዘበኛነት	ዘበኛ+ነት
ከብርጋዴር	ከ+ብርጋዴር
ጥቂቶቹን	ጥቂ+ቶቹን
የክትና	የ+ክ+ትና
